Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Origin,Process,Desc,URL,Image_URL,Category
,Marc's Coffee,3000.0,,Vienna Roast,,,,"Coffee Collection 2024–2026 A Journey in Every Cup Welcome to the 2024–2025 edition of our Coffee Collection. Our story began in 2008, in a small village near Pondicherry, with a simple dream: to roast exceptional Indian coffees, one small batch at a time. With little more than a passion for flavour and a vision for quality, the first roasts were crafted by hand—humble beginnings that sparked a journey of discovery, dedication, and craftsmanship. Seventeen years later, that same spirit continues to guide us. This year’s collection celebrates the full spectrum of coffee—from minty, full-bodied Vienna roasts to bright and delicate light-roasted single estates. Whether you're seeking a comforting breakfast blend, an intense espresso, or a rare micro-lot, each coffee is a reflection of our unwavering commitment to quality, traceability, and flavour. Every bean carries a story. In every roast a mindful act. May the coffee spirit be with you.",https://coffeeideas.in/product-category/our-coffees/?shop_view=grid&per_row=3,https://coffeeideas.in/media/2026/04/1-1-450x560.jpg,Coffee
,Marc's Coffee,3000.0,,Vienna Roast,,,,"Coffee Collection 2024–2026 A Journey in Every Cup Welcome to the 2024–2025 edition of our Coffee Collection. Our story began in 2008, in a small village near Pondicherry, with a simple dream: to roast exceptional Indian coffees, one small batch at a time. With little more than a passion for flavour and a vision for quality, the first roasts were crafted by hand—humble beginnings that sparked a journey of discovery, dedication, and craftsmanship. Seventeen years later, that same spirit continues to guide us. This year’s collection celebrates the full spectrum of coffee—from minty, full-bodied Vienna roasts to bright and delicate light-roasted single estates. Whether you're seeking a comforting breakfast blend, an intense espresso, or a rare micro-lot, each coffee is a reflection of our unwavering commitment to quality, traceability, and flavour. Every bean carries a story. In every roast a mindful act. May the coffee spirit be with you.",https://coffeeideas.in/product-category/our-coffees/?shop_view=grid&per_row=4,https://coffeeideas.in/media/2026/04/1-1-450x560.jpg,Coffee
JavaScript is not available.,Marc's Coffee,,,,,,,,https://x.com/share?url=https://coffeeideas.in/product-category/our-coffees/,,Coffee
Pin Builder,Marc's Coffee,,,,"Discover recipes, home ideas, style inspiration and other ideas to try",,,"Discover recipes, home ideas, style inspiration and other ideas to try.",https://pinterest.com/pin/create/button/?url=https://coffeeideas.in/product-category/our-coffees/&media=https://coffeeideas.in/media/2018/10/turkish-final-final--scaled-e1704431496612.jpg&description=Turkish%20Blend,https://s.pinimg.com/images/facebook_share_image.png,Coffee
,Marc's Coffee,,,,,,,"Login to LinkedIn to keep in touch with people you know, share ideas, and build your career.",https://www.linkedin.com/shareArticle?mini=true&url=https://coffeeideas.in/product-category/our-coffees/,https://static.licdn.com/scds/common/u/images/logos/favicons/v1/favicon.ico,Coffee
,Marc's Coffee,,,,,,,,https://telegram.me/share/url?url=https://coffeeideas.in/product-category/our-coffees/,,Coffee
Airscape Coffee Canister - coffee storage for freshness,Maverick and Farmer,3000.0,,,Moisture and air are,,,"Moisture and air are roasted coffee's biggest enemies! Keep your coffee fresh with this patented freshness-locking system. This canister, or coffee reusable container, comes with two lids. The inner lid can be pushed down towards the level of the coffee and then locked to create a vacuum that does not allow any air or moisture inside. As you keep using your coffee beans or powder the lid can be pushed further down so that there is hardly any gap between the coffee and the lid. How do you store coffee to keep it fresh? here is your answer.",https://www.maverickandfarmer.com/products/airscape-coffee-canister-coffee-storage-for-freshness,https://cdn.shopify.com/s/files/1/0296/1568/5768/products/airscapecoffeestoragecanister1.jpg?v=1591106538,Coffee
Arabica Tasters Set,Maverick and Farmer,760.0,250g,Dark Roast,5 of our most popular single,,,"5 of our most popular single estate Arabica coffees. From our lightest roast (Say Hello To Mellow) to our darkest (Tall Dark Handsome), these arabicas are each a distinct bag of fabulousness. Perfect if you are setting out to choose your favourite amongst Maverick &amp; Farmers arabicas or if you simply are looking for a different coffee each day of the week. Our Arabica Coffee Flight is a great gifting option too! Each pack contains 50 gms of freshly roasted Arabica. Choose your grind size (or whole beans if you wish) and we'll do the rest!",https://www.maverickandfarmer.com/products/arabica-coffee-flight,https://cdn.shopify.com/s/files/1/0296/1568/5768/products/arabicatastersmain.jpg?v=1611911839,Coffee
Biker's Blend,Maverick and Farmer,650.0,,Medium-Dark Roast,Raisins and Milk Chocolate Quantity- 250g,,"80% washed, and the rest is a natural","A bold expression of 100% Arabica, this single-estate coffee is crafted for those who live for the journey as much as the destination. Sourced directly from our partner farms and roasted to a medium-dark profile, it delivers a rich, full-bodied cup with deep, lingering notes that fuel every ride. 
 Biker's Blend is more than a blend- it’s a story of connection. From the hands that nurture the beans to the roads that carry you forward, this coffee bridges origin and experience. Expect a bold yet balanced flavour, with a smooth intensity that resonates with riders, explorers, and coffee lovers alike. 
 Whether you’re starting your morning or pausing mid-ride, this is a cup that keeps up with your pace- strong, grounded, and unapologetically bold. 
  Bean: 100% Arabica.  
  Process: 80% washed, and the rest is a natural process.    
  Tasting notes: Raisins and Milk Chocolate  
  Quantity- 250g",https://www.maverickandfarmer.com/products/bikers-blend,https://cdn.shopify.com/s/files/1/0296/1568/5768/files/WhatsAppImage2026-03-30at11.28.03AM.jpg?v=1774867204,Accessories
BLR Drums Collective - Jam Session,Maverick and Farmer,,,,BLR Drums Collective is bringing the beat to Maverick &,,,"BLR Drums Collective is bringing the beat to   Maverick &amp; Farmer’s Harvest Festival   at Ulsoor- and yes, you’re invited!  
  This isn’t just another weekend plan.      It’s rhythm, connection, and celebration- the BDC way.      A space to drum, dance, and just   be  .  
 Bring your own instrument- or come clap, dance, and feel the vibe No instrument? Rent a djembe at the venue for Rs 250 (first come, first served) Kids under 5 join free (register if they need a seat) 
 
 
  Where: Maverick &amp; Farmer Coffee, Ulsoor!   
  When: 28th Feb 2026, 5:00 PM to 6:30 PM",https://www.maverickandfarmer.com/products/blr-drums-collective-jam-session,https://cdn.shopify.com/s/files/1/0296/1568/5768/files/Screenshot2026-02-20103457_9534cfd5-2685-41d4-9c56-a95e7ba9b0a7.png?v=1771565924,Coffee
Blue mountain coffee tasting table,Maverick and Farmer,480.0,,,Coffee tasting table at Maverick &,,,"Coffee tasting table at Maverick &amp; Farmer, church street.  
 Our co-founder Ashish D’abreo scored some good quality Jamaican Blue Mountain coffee and we’re putting it out on our tasting table. 
 Have you ever been curious about what the fuss is all about? Come taste with us!      
  We have very few spots, so grab one quick!  
  Where? Maverick &amp; Farmer cafe, Church street Bengaluru.  
  When? Saturday, 17th January 2026. 4:30 p.m  
   Limited seats. Pre-registration required.",https://www.maverickandfarmer.com/products/blue-mountain-coffee-tasting-table,https://cdn.shopify.com/s/files/1/0296/1568/5768/files/F1473DD2-28D2-41A3-A055-FEE8C3927175.jpg?v=1767703724,Coffee
Brace for the summer - A cold brew and cold foam Masterclass with Ashish D'abreo,Maverick and Farmer,800.0,,,,,,"Brace for the Summer is a cold brew coffee workshop with special emphasis on perfecting your cold foam game! 
 Cold foam is all the rage and with the prediction of a loooong and sapping summer, it is the perfect accompaniment to your cold brew beverages.  
 Learn all the tips and tricks, the little hacks, and the techniques needed to perfect this cold foam as well as get your cold brew coffee batch spot on every single time.  
 Conducted by our co-founder and Q Grader    Ashish D’abreo,    this is an opportunity that you don't want to let go easily. 
  We have only 12 spots, so grab one quickly!  
  Where? Veronica's, Bandra West, Mumbai.  
  When? Sunday, 22nd March 2026. 5:00 p.m",https://www.maverickandfarmer.com/products/brace-for-the-summer,https://cdn.shopify.com/s/files/1/0296/1568/5768/files/WhatsAppImage2026-02-27at4.14.52PM_1.jpg?v=1772783870,Events
Brewin'-a-cup : Parama,Maverick and Farmer,600.0,,,chocolate and caramel with a creamy mouthfeel,,,"Our hugely popular Parama blend finds a new avatar with this easy-to-brew all in one pour-over filter. Parama is our luxury blend, with bold notes of chocolate and caramel with a creamy mouthfeel. Perfect if you like something bold and black or if you are adding milk or any whitener.  
 All you need is a cup, to brew this luxury blend. Simply tear open the sachet, strap the filter onto your favourite cup, pour hot water, and count the minutes until you can immerse yourself in some coffee goodness.",https://www.maverickandfarmer.com/products/brewin-a-cup-parama,https://cdn.shopify.com/s/files/1/0296/1568/5768/products/IMG_2287.jpg?v=1626261788,Accessories
Brewin'-a-cup : Tall Dark Handsome,Maverick and Farmer,500.0,,Dark Roast,"All you need is a cup, of this beautiful French (dark)",,,"All you need is a cup, of this beautiful French (dark) roast Arabica.  The coffee has a dark, bitter-sweet and mildly smoky flavour. 100% single estate Arabica, perfect for milk-based coffee or a strong black coffee.  
 All you need is a cup, to brew this coffee! Simply place this filter on your favourite coffee cup, pour hot water, brew for as long as you like (we recommend 3-4 minutes), add milk and/or sweetner if you want, and you're good to go! No other equipment or filter needed.",https://www.maverickandfarmer.com/products/brewin-a-cup-tall-dark-handsome,https://cdn.shopify.com/s/files/1/0296/1568/5768/products/2.jpg?v=1626185539,Accessories
Brewing on the X Bloom’s by Kaapi Machines,Maverick and Farmer,799.0,,,xBloom,,,"xBloom Original – The Smartest Way to Brew Specialty Coffee 
 The xBloom Original is an advanced automatic coffee brewer that redefines home and office coffee experiences. Designed to replicate the precision of a barista’s pour-over technique, it seamlessly integrates grinding, dosing, and brewing into a single touchless process. Featuring RFID-enabled smart brewing, it recognizes pre-set coffee profiles and adjusts grind size, water flow, and temperature to match the coffee’s optimal extraction parameters. With its built-in burr grinder, the xBloom ensures freshly ground coffee for each cup. The gooseneck pour system mimics expert pouring motions, delivering even saturation and enhanced flavor. A minimalist touchscreen interface provides intuitive controls for effortless brewing. Ideal for coffee enthusiasts seeking precision, convenience, and café-quality results, the xBloom eliminates guesswork while preserving the craft of specialty coffee. Whether at home or in the office, it guarantees a flawless cup with every brew—all at the press of a button. 
 xBloom Studio KEY FEATURES: 
 1. Built-In Smart Grinder: Freshly grinds coffee beans to the perfect consistency for each brew. 2. RFID-Enabled Brewing Profiles: It auto-detects coffee parameters for precise, hands-free brewing. 3. Barista-Level Pour-Over Replication: Simulates expert pouring techniques for optimal flavor extraction. 4. Intuitive Touchscreen Controls: Simple user interface for seamless operation and customization. 5. Sleek &amp; Minimalist Design: Modern aesthetic that complements any kitchen or workspace. 
  
 
 
   
 
  Where: Maverick &amp; Farmer Coffee, Ulsoor!   
  When: 1st Mar 2026, 1:00 PM - 2:00 PM",https://www.maverickandfarmer.com/products/x-bloom-s-workshop,https://cdn.shopify.com/s/files/1/0296/1568/5768/files/Screenshot2026-02-20103457_a4292179-7267-4b90-bf74-df975c077592.png?v=1771866684,Coffee
